Hydraulic Retention Time (Days),Temperature (°C),pH,Biogas Yield (m³/Kg),CH4 (%)
27,34,7.07,0.44,61.3
10,31,6.91,0.2,9.12
9,31,6.86,0.17,5.42
22,34,7.05,0.43,52.73
7,29,6.82,0.13,5.56
24,35,7.13,0.42,56.27
6,30,6.8,0.11,4.33
14,33,6.99,0.29,31.72
1,27,6.72,0.0,0.0
26,35,7.11,0.42,60.27
10,29,6.89,0.19,7.87
30,30,6.86,0.45,60.66
9,29,6.89,0.19,5.39
23,34,7.08,0.43,54.28
27,35,7.09,0.45,62.09
20,34,7.0,0.39,49.12
28,32,7.07,0.45,61.56
2,28,6.74,0.01,5.05
4,31,6.83,0.06,5.68
26,34,7.13,0.43,60.76
9,30,6.89,0.17,5.55
28,34,7.07,0.44,62.37
10,29,6.91,0.21,8.18
22,35,7.04,0.4,53.38
3,30,6.74,0.05,6.38
22,34,7.07,0.43,52.47
11,29,6.91,0.24,13.0
23,33,7.05,0.44,54.27
18,33,6.97,0.37,45.72
22,35,7.02,0.44,52.17
27,34,7.07,0.45,61.25
11,31,6.94,0.23,14.38
14,32,6.97,0.31,31.8
19,32,6.97,0.38,47.0
26,34,7.1,0.44,61.21
21,33,7.03,0.42,50.06
3,30,6.74,0.03,5.8
25,35,7.08,0.45,59.33
14,33,6.96,0.3,30.99
30,28,6.88,0.44,60.15
1,29,6.73,0.0,0.0
24,36,7.08,0.43,56.58
5,30,6.77,0.08,5.36
24,34,7.06,0.43,56.29
26,36,7.07,0.45,62.01
3,30,6.77,0.05,5.42
3,29,6.77,0.04,6.47
10,30,6.86,0.21,9.17
16,34,6.98,0.33,41.09
6,29,6.84,0.09,4.22
25,34,7.12,0.43,59.46
24,35,7.09,0.43,56.96
5,31,6.8,0.08,4.85
7,29,6.82,0.13,2.94
5,29,6.83,0.1,5.03
9,30,6.91,0.16,5.52
19,33,6.97,0.38,46.67
27,34,7.1,0.45,61.5
7,31,6.84,0.13,5.04
15,33,7.01,0.31,35.86
3,30,6.74,0.06,5.91
20,33,7.01,0.4,47.55
9,30,6.91,0.15,5.39
19,34,7.0,0.4,46.43
14,33,7.0,0.31,31.74
23,33,7.07,0.43,55.22
1,29,6.74,0.01,3.79
15,34,7.0,0.34,36.87
30,28,6.9,0.46,61.43
14,34,6.99,0.29,31.14
22,33,7.04,0.41,51.67
5,31,6.8,0.09,4.45
6,31,6.86,0.1,3.95
22,34,7.04,0.42,53.39
7,30,6.81,0.1,4.03
4,29,6.79,0.06,5.9
16,32,6.98,0.33,41.04
9,31,6.87,0.17,6.15
5,31,6.77,0.07,5.27
17,33,7.01,0.35,43.22
0,27,6.71,0.0,0.0
4,31,6.82,0.07,5.62
13,32,6.95,0.28,24.71
23,35,7.04,0.44,55.74
5,30,6.79,0.08,4.86
4,30,6.77,0.07,5.72
3,29,6.77,0.04,5.74
13,31,6.95,0.28,25.02
12,30,6.95,0.24,19.94
17,32,6.99,0.38,43.37
24,34,7.13,0.43,57.13
15,34,7.01,0.3,37.13
18,32,7.01,0.39,44.11
19,32,7.0,0.4,46.01
12,30,6.95,0.22,18.7
21,32,7.0,0.4,50.69
5,30,6.82,0.08,4.93
28,34,7.07,0.45,62.91
20,32,6.99,0.41,47.81
12,32,6.93,0.24,18.34
13,33,6.96,0.28,24.97
2,29,6.7,0.01,5.09
7,29,6.85,0.13,2.97
15,33,6.97,0.32,36.01
10,30,6.9,0.17,7.49
23,35,7.08,0.44,55.02
22,33,7.0,0.42,51.98
10,31,6.89,0.2,7.99
19,33,7.0,0.39,45.78
19,33,6.96,0.39,46.36
23,33,7.1,0.44,54.41
4,30,6.75,0.07,5.86
12,31,6.95,0.25,18.36
3,29,6.74,0.04,5.4
17,33,7.01,0.36,42.79
7,29,6.83,0.14,3.44
13,33,7.01,0.28,25.32
25,34,7.08,0.44,58.49
6,31,6.87,0.1,4.05
2,29,6.74,0.04,4.64
29,33,7.02,0.45,61.82
6,30,6.85,0.11,3.64
9,31,6.85,0.17,6.04
24,35,7.1,0.43,56.77
0,27,6.7,0.01,0.0
4,30,6.78,0.06,5.47
22,33,7.07,0.42,53.06
11,29,6.92,0.24,12.47
5,30,6.79,0.09,4.31
7,29,6.82,0.14,3.9
1,28,6.73,0.02,3.81
11,30,6.91,0.22,12.5
10,29,6.91,0.22,8.54
14,32,7.01,0.3,31.8
1,28,6.71,0.01,3.65
24,36,7.09,0.43,56.79
19,33,6.97,0.39,46.68
14,33,6.96,0.31,31.36
10,29,6.91,0.2,8.26
7,30,6.83,0.13,4.19
28,33,7.07,0.43,62.99
7,30,6.85,0.14,2.79
10,29,6.88,0.19,8.79
29,33,7.02,0.45,62.18
4,30,6.77,0.06,5.62
10,29,6.89,0.19,8.35
26,36,7.08,0.43,60.55
6,31,6.84,0.1,4.7
23,34,7.07,0.43,54.45
6,31,6.82,0.11,3.7
17,34,7.03,0.37,42.05
11,29,6.9,0.23,13.09
18,32,6.97,0.37,44.86
26,35,7.1,0.45,60.61
17,33,7.01,0.37,42.77
27,34,7.09,0.46,62.06
15,34,7.02,0.32,36.82
12,30,6.98,0.26,18.41
5,30,6.8,0.08,5.49
29,31,7.01,0.45,61.79
28,34,7.03,0.48,62.13
2,28,6.74,0.01,5.31
19,34,6.98,0.38,47.3
6,29,6.83,0.1,3.65
5,29,6.79,0.08,4.92
30,30,6.89,0.45,60.51
19,34,6.97,0.38,45.55
21,34,7.0,0.41,49.98
28,34,7.05,0.45,63.72
26,34,7.11,0.43,60.75
22,33,7.03,0.42,52.82
14,33,6.99,0.3,31.86
16,32,7.0,0.34,40.44
2,29,6.72,0.02,5.33
25,35,7.11,0.45,59.95
24,35,7.09,0.42,57.01
16,32,7.01,0.36,40.21
19,33,6.97,0.4,46.04
14,33,6.99,0.28,31.6
4,29,6.8,0.08,5.59
15,33,7.01,0.31,36.77
18,32,7.01,0.37,43.95
8,29,6.87,0.17,3.25
15,32,6.98,0.32,36.31
17,32,6.99,0.37,42.81
0,25,6.7,0.01,0.09
30,30,6.9,0.45,60.29
12,31,6.94,0.26,19.0
1,27,6.7,0.03,3.57
16,34,7.03,0.36,40.04
6,31,6.83,0.11,3.8
2,28,6.75,0.04,5.85
20,34,6.98,0.41,48.03
10,30,6.84,0.19,7.9
18,32,6.99,0.37,44.02
5,30,6.77,0.06,4.76
3,30,6.71,0.04,6.33
16,32,6.99,0.35,40.21
7,29,6.85,0.13,3.72
3,29,6.74,0.05,6.0
8,31,6.84,0.14,4.26
11,29,6.9,0.24,11.74
10,31,6.91,0.2,8.81
27,34,7.1,0.45,62.85
13,31,7.01,0.27,24.82
6,29,6.81,0.09,4.28
9,31,6.89,0.17,5.06
20,34,6.98,0.42,47.7
8,29,6.86,0.16,4.33
26,34,7.08,0.43,60.07
29,31,7.0,0.44,62.15
17,32,6.98,0.37,42.21
6,30,6.83,0.1,4.33
1,27,6.71,0.01,3.89
27,34,7.11,0.44,61.55
23,34,7.06,0.43,54.13
0,26,6.7,0.0,0.0
8,30,6.85,0.15,4.44
2,28,6.76,0.01,5.22
24,36,7.05,0.45,57.12
26,34,7.07,0.43,59.63
24,36,7.09,0.43,56.7
23,33,7.05,0.42,54.59
6,31,6.84,0.11,4.66
1,27,6.74,0.01,3.85
1,27,6.72,0.0,0.0
14,34,6.94,0.31,30.59
27,33,7.09,0.46,61.97
30,30,6.85,0.46,60.92
25,35,7.11,0.42,58.62
24,35,7.05,0.44,57.34
6,31,6.82,0.11,5.05
28,34,7.06,0.46,61.9
21,32,7.02,0.42,50.58
27,33,7.1,0.45,61.86
15,33,7.0,0.32,36.01
15,34,7.02,0.32,37.0
16,34,7.01,0.35,39.7
9,30,6.88,0.17,5.44
6,31,6.84,0.11,4.46
28,34,7.04,0.45,62.34
22,34,7.03,0.42,52.76
10,31,6.94,0.2,7.76
0,26,6.67,0.0,0.0
10,30,6.91,0.21,7.69
1,27,6.75,0.01,4.25
3,31,6.78,0.03,5.78
23,33,7.05,0.43,55.07
13,33,6.96,0.27,24.94
2,29,6.75,0.03,5.04
25,34,7.1,0.43,59.48
9,30,6.86,0.15,4.91
28,34,7.05,0.44,61.96
13,33,6.98,0.27,24.49
15,32,7.01,0.32,35.76
19,33,7.0,0.38,46.56
15,33,6.97,0.33,36.98
18,33,6.98,0.36,44.71
16,32,6.98,0.33,40.42
21,32,7.03,0.41,49.91
29,32,6.98,0.45,62.07
19,34,7.01,0.38,46.8
6,29,6.81,0.08,4.23
16,33,6.97,0.34,40.23
20,32,6.99,0.4,49.16
24,36,7.07,0.42,56.37
9,31,6.84,0.17,5.22
30,28,6.9,0.44,60.06
6,30,6.8,0.11,4.16
20,33,6.99,0.4,47.48
11,31,6.9,0.22,13.95
22,35,7.01,0.41,51.92
30,29,6.87,0.45,59.21
12,32,6.95,0.25,19.0
27,35,7.06,0.45,61.01
18,33,7.04,0.38,44.24
4,29,6.78,0.07,5.59
0,25,6.69,0.0,0.0
11,30,6.91,0.23,13.19
9,29,6.87,0.18,6.09
9,31,6.88,0.17,5.32
16,33,6.98,0.34,39.53
28,32,7.08,0.45,61.83
12,30,6.95,0.25,19.45
21,33,7.0,0.41,50.49
18,32,7.0,0.37,45.3
27,33,7.09,0.46,61.4
15,32,7.01,0.32,36.2
25,34,7.08,0.43,59.96
24,34,7.09,0.42,57.82
9,31,6.9,0.17,6.17
20,33,6.97,0.41,47.96
21,34,7.0,0.4,49.61
1,28,6.71,0.02,2.86
30,30,6.9,0.43,60.9
8,29,6.86,0.17,3.75
23,33,7.09,0.44,54.51
4,31,6.79,0.07,5.26
19,34,7.0,0.39,46.87
30,29,6.9,0.46,60.67
9,30,6.9,0.16,5.67
20,34,6.96,0.41,47.55
27,33,7.09,0.46,61.99
12,31,6.93,0.24,18.84
3,29,6.74,0.04,5.87
20,33,6.98,0.42,48.4
15,33,7.01,0.32,36.8
17,33,6.98,0.37,42.96
9,29,6.9,0.16,6.34
28,34,7.03,0.45,62.87
27,34,7.09,0.46,61.16
7,29,6.78,0.14,3.43
20,33,6.97,0.39,49.5
12,32,6.93,0.25,18.07
21,34,7.02,0.4,50.42
6,29,6.84,0.11,3.48
19,34,6.98,0.38,47.46
16,32,7.0,0.33,40.63
19,34,6.98,0.39,45.67
6,30,6.79,0.08,4.55
7,31,6.83,0.13,2.97
3,31,6.75,0.04,5.28
6,31,6.82,0.11,4.16
27,33,7.09,0.45,62.35
27,35,7.07,0.46,61.67
1,28,6.68,0.02,3.95
28,34,7.02,0.45,62.25
9,31,6.9,0.17,6.89
6,29,6.84,0.09,3.89
28,32,7.05,0.46,62.34
22,33,7.03,0.41,52.09
11,31,6.93,0.23,13.51
11,29,6.93,0.22,13.51
29,31,6.98,0.45,61.94
22,35,7.04,0.43,51.51
24,35,7.06,0.41,57.43
19,33,7.01,0.39,46.67
10,30,6.88,0.21,7.9
25,35,7.08,0.43,59.49
10,30,6.89,0.19,8.98
19,33,6.97,0.41,46.83
5,31,6.8,0.09,5.66
20,32,6.97,0.38,48.33
14,34,6.99,0.31,31.16
8,29,6.88,0.16,2.77
30,28,6.91,0.45,60.5
7,30,6.85,0.12,3.04
2,28,6.72,0.02,5.52
9,30,6.84,0.17,6.57
19,34,6.97,0.38,46.82
24,36,7.12,0.42,55.68
22,35,7.05,0.43,52.48
12,32,6.96,0.25,18.77
27,34,7.1,0.46,61.39
28,33,7.07,0.45,62.56
16,32,7.0,0.33,39.95
10,31,6.93,0.21,8.79
22,35,7.07,0.41,52.74
17,34,6.99,0.38,43.11
4,29,6.81,0.05,5.79
21,33,7.05,0.41,50.73
24,35,7.08,0.42,57.25
17,33,6.96,0.36,42.53
2,30,6.73,0.02,4.89
17,33,6.99,0.35,42.97
5,31,6.79,0.1,5.31
0,25,6.68,0.0,0.0
17,33,6.98,0.35,43.29
10,31,6.92,0.19,9.38
12,32,6.94,0.24,18.96
16,34,7.0,0.34,40.23
8,31,6.82,0.14,4.36
23,33,7.07,0.43,54.97
25,35,7.11,0.43,60.24
1,28,6.73,0.01,3.7
17,34,6.98,0.36,42.1
8,30,6.88,0.15,4.62
10,29,6.91,0.19,6.17
13,31,6.98,0.3,25.36
22,35,7.07,0.41,52.05
24,34,7.08,0.41,56.5
15,34,7.01,0.33,36.36
25,36,7.13,0.42,59.13
4,30,6.78,0.04,5.19
14,32,7.01,0.3,30.74
15,33,6.99,0.31,36.02
22,33,6.98,0.4,52.56
11,31,6.96,0.22,13.97
9,31,6.85,0.18,5.01
22,34,7.05,0.42,52.57
16,32,6.99,0.35,40.39
19,32,7.01,0.38,47.16
18,32,7.01,0.36,44.4
27,34,7.09,0.45,61.44
11,31,6.9,0.22,12.02
17,33,7.0,0.36,43.27
6,29,6.78,0.12,3.87
3,30,6.75,0.05,5.13
4,29,6.82,0.06,4.61
28,33,7.08,0.46,61.72
11,31,6.94,0.22,12.78
3,29,6.76,0.04,5.36
6,29,6.81,0.1,3.43
28,32,7.04,0.47,62.8
10,31,6.92,0.2,7.76
4,30,6.79,0.05,5.59
27,33,7.09,0.46,61.76
28,34,7.07,0.46,61.72
19,33,6.99,0.39,47.27
3,31,6.79,0.03,6.56
24,34,7.1,0.42,55.77
14,32,7.02,0.31,30.59
18,34,7.0,0.37,45.31
25,34,7.09,0.44,59.41
21,33,7.01,0.41,50.9
28,33,7.07,0.47,61.69
3,29,6.76,0.06,4.78
3,31,6.8,0.04,6.9
20,32,7.0,0.4,48.33
6,29,6.82,0.1,4.18
16,33,6.97,0.36,40.25
26,34,7.11,0.43,60.83
23,35,7.08,0.43,55.12
10,31,6.94,0.19,8.91
2,30,6.77,0.02,5.19
23,34,7.05,0.45,55.02
4,31,6.78,0.05,5.06
12,31,6.99,0.25,18.83
30,28,6.86,0.47,60.6
6,30,6.82,0.11,4.8
23,34,7.06,0.42,55.79
11,30,6.89,0.23,12.56
17,34,7.01,0.35,43.48
12,31,6.97,0.26,19.08
25,34,7.11,0.44,58.1
19,32,6.99,0.4,47.42
24,36,7.06,0.43,57.02
3,31,6.75,0.04,5.45
4,29,6.8,0.05,6.29
9,30,6.86,0.18,5.95
9,29,6.87,0.18,5.8
14,34,6.99,0.3,30.6
28,34,7.01,0.47,63.23
18,34,7.0,0.38,44.82
3,29,6.78,0.04,5.74
3,29,6.73,0.04,6.45
20,32,7.03,0.4,48.22
8,31,6.87,0.15,3.88
14,33,6.98,0.29,30.94
0,26,6.67,0.01,0.0
7,30,6.83,0.12,4.38
28,34,7.06,0.44,62.77
19,34,7.01,0.38,47.62
11,29,6.92,0.25,13.21
10,30,6.88,0.22,7.78
4,29,6.83,0.07,5.96
24,35,7.13,0.43,57.4
24,34,7.09,0.43,56.57
17,34,7.01,0.38,43.51
8,30,6.86,0.15,4.26
11,29,6.91,0.23,13.09
27,34,7.09,0.46,61.08
25,36,7.08,0.43,59.29
28,34,7.07,0.44,62.79
10,31,6.9,0.2,8.18
7,31,6.82,0.11,3.39
16,32,6.97,0.34,40.28
15,32,6.97,0.32,35.4
3,29,6.78,0.05,7.01
18,32,7.01,0.38,45.57
0,25,6.7,0.0,0.0
11,31,6.97,0.24,12.59
6,29,6.82,0.1,4.22
22,34,7.05,0.41,52.25
10,30,6.9,0.2,8.89
25,36,7.09,0.44,59.14
30,28,6.9,0.44,60.57
25,36,7.12,0.45,58.56
4,31,6.79,0.06,5.96
2,30,6.73,0.02,5.37
1,27,6.74,0.02,4.09
2,28,6.75,0.02,3.87
26,36,7.09,0.42,60.86
2,29,6.76,0.01,4.96
10,30,6.89,0.21,8.41
18,34,6.98,0.39,45.22
25,36,7.07,0.43,58.63
30,29,6.9,0.47,60.16
6,31,6.84,0.09,5.05
21,33,7.02,0.41,50.51
23,35,7.03,0.43,55.72
2,28,6.69,0.01,4.64
27,34,7.09,0.45,61.91
15,33,6.99,0.31,37.1
6,29,6.83,0.12,3.98
26,34,7.12,0.44,61.09
12,31,6.96,0.25,18.4
6,31,6.81,0.11,4.52
23,33,7.09,0.41,55.03
17,33,7.01,0.38,42.75
23,34,7.11,0.43,55.39
12,31,6.98,0.27,18.72
21,34,7.0,0.42,50.35
5,29,6.8,0.1,5.56
28,34,7.03,0.44,61.93
8,30,6.85,0.15,3.31
4,31,6.78,0.05,5.23
10,31,6.89,0.21,8.21
24,36,7.09,0.42,56.94
20,33,7.01,0.4,48.97
8,29,6.87,0.15,3.33
27,35,7.12,0.44,61.71
6,31,6.77,0.11,4.02
14,34,6.99,0.29,31.04
19,33,6.96,0.4,47.5
3,30,6.73,0.05,5.8
17,32,7.02,0.37,42.25
19,34,6.94,0.38,46.14
26,34,7.07,0.44,60.57
4,29,6.78,0.06,5.02
4,29,6.78,0.05,6.47
19,32,7.0,0.42,47.29
19,33,6.99,0.4,46.0
14,33,6.98,0.3,31.63
7,31,6.84,0.15,3.44
26,34,7.09,0.45,60.5
5,30,6.81,0.09,5.1
23,34,7.05,0.42,54.42
18,33,7.02,0.36,45.36
17,34,6.99,0.37,42.77
28,32,7.06,0.46,61.95
15,32,7.04,0.33,36.67
23,33,7.04,0.43,54.36
25,36,7.09,0.44,58.84
3,29,6.77,0.04,6.03
11,29,6.92,0.22,13.49
1,28,6.73,0.01,3.31
28,32,7.04,0.45,63.21
28,34,7.07,0.43,62.0
21,34,6.98,0.41,50.24
13,31,7.0,0.28,24.6
15,32,7.0,0.32,36.43
8,30,6.88,0.16,4.45
0,26,6.71,0.0,0.0
28,32,7.06,0.45,62.19
24,34,7.08,0.42,57.21
20,32,7.01,0.39,49.41
10,30,6.84,0.2,8.55
0,26,6.71,0.0,0.0
5,29,6.81,0.08,4.97
5,31,6.82,0.08,5.37
30,28,6.95,0.44,60.81
1,29,6.74,0.01,4.07
3,31,6.75,0.03,6.62
30,30,6.93,0.45,60.8
6,29,6.83,0.11,4.7
27,34,7.08,0.45,61.41
23,34,7.06,0.42,56.16
17,32,7.01,0.36,43.46
14,34,7.02,0.3,31.92
15,32,7.02,0.3,36.43
12,30,6.96,0.24,19.6
11,31,6.91,0.23,13.58
28,33,7.05,0.45,61.45
6,31,6.83,0.1,4.77
19,32,6.97,0.39,45.62
27,35,7.07,0.46,61.67
23,35,7.08,0.42,54.82
28,33,7.02,0.45,61.88
0,26,6.7,0.0,0.0
27,35,7.06,0.45,63.4
20,33,7.01,0.4,47.78
2,29,6.75,0.02,6.11
1,29,6.73,0.0,0.0
9,30,6.89,0.17,5.69
29,31,6.97,0.45,61.83
29,33,6.98,0.44,62.09
20,33,6.98,0.41,48.69
27,34,7.11,0.46,62.11
11,29,6.89,0.23,13.0
11,29,6.88,0.22,12.81
19,34,7.03,0.38,46.98
18,32,6.99,0.39,44.38
3,30,6.77,0.06,6.53
10,29,6.95,0.19,8.79
19,32,7.0,0.4,46.23
21,32,7.04,0.4,51.01
18,32,7.0,0.38,45.25
0,25,6.69,0.01,0.0
24,34,7.09,0.44,57.44
15,33,7.02,0.31,35.6
13,33,7.0,0.27,24.55
19,34,6.96,0.4,46.37
27,35,7.09,0.46,61.51
25,35,7.1,0.45,59.05
4,30,6.77,0.06,6.36
14,34,7.05,0.28,31.03
5,30,6.81,0.06,4.63
11,29,6.92,0.22,13.39
9,31,6.87,0.17,5.35
28,33,7.05,0.44,62.53
27,33,7.09,0.43,61.78
19,34,7.0,0.39,46.26
15,32,7.01,0.33,36.51
28,32,7.07,0.44,62.99
25,34,7.13,0.45,58.78
16,34,7.0,0.33,40.65
1,28,6.74,0.0,0.0
22,35,7.03,0.44,52.64
30,28,6.91,0.44,60.4
10,31,6.91,0.2,8.96
9,29,6.88,0.17,5.95
7,30,6.85,0.13,3.41
28,33,7.04,0.45,61.87
21,33,7.04,0.42,50.39
22,34,7.05,0.43,52.07
7,30,6.86,0.15,4.06
21,32,6.97,0.42,50.1
11,31,6.94,0.23,13.11
21,33,7.05,0.41,50.64
14,32,6.99,0.29,30.49
11,29,6.9,0.22,13.55
25,34,7.06,0.43,58.53
7,29,6.83,0.12,3.79
21,33,7.07,0.42,50.25
5,31,6.79,0.08,4.99
3,29,6.76,0.02,5.07
7,29,6.84,0.13,4.37
17,32,7.0,0.37,42.94
0,27,6.69,0.0,0.0
11,31,6.89,0.21,13.19
11,29,6.93,0.22,12.24
16,32,7.02,0.35,40.19
12,30,6.97,0.25,19.42
22,33,7.05,0.43,52.59
29,32,6.98,0.46,62.11
5,30,6.79,0.09,4.88
2,28,6.77,0.0,0.0
0,25,6.77,0.0,0.0
19,32,6.97,0.39,47.02
0,25,6.7,0.0,0.0
15,32,7.01,0.32,36.75
8,30,6.87,0.16,3.97
10,29,6.91,0.21,9.74
14,34,6.99,0.29,31.54
1,29,6.69,0.01,3.49
29,31,6.97,0.44,61.38
9,30,6.9,0.16,6.2
22,35,7.02,0.41,52.84
17,34,6.99,0.36,43.73
14,32,6.97,0.3,30.58
1,29,6.73,0.01,3.79
23,33,7.07,0.43,55.05
30,29,6.94,0.46,60.73
22,34,7.05,0.41,51.98
4,29,6.81,0.07,5.27
2,28,6.78,0.02,5.62
5,30,6.79,0.1,5.09
19,34,6.98,0.41,46.76
12,32,6.94,0.26,19.47
10,29,6.89,0.2,9.2
6,31,6.82,0.1,4.89
27,33,7.1,0.46,61.19
13,32,6.97,0.28,24.98
2,30,6.76,0.03,5.74
6,29,6.8,0.11,4.81
11,31,6.93,0.22,13.77
11,31,6.93,0.23,13.59
1,28,6.75,0.01,3.09
11,30,6.96,0.23,14.15
10,31,6.9,0.21,9.33
14,33,6.99,0.29,31.2
15,33,7.03,0.32,35.81
7,29,6.85,0.15,3.9
30,28,6.92,0.46,60.58
19,32,6.97,0.38,45.93
12,30,6.94,0.25,18.87
22,33,7.02,0.43,52.03
17,34,6.98,0.37,42.89
16,32,7.0,0.34,39.86
15,34,7.01,0.32,36.37
12,30,6.97,0.25,18.33
11,30,6.95,0.21,11.9
17,34,6.97,0.37,43.28
30,30,6.93,0.45,59.88
17,32,6.98,0.37,42.63
22,33,7.03,0.43,51.73
4,29,6.73,0.05,6.01
8,30,6.87,0.14,4.28
4,29,6.75,0.06,6.61
14,34,6.98,0.28,30.82
15,32,7.02,0.33,36.04
29,31,6.96,0.45,61.33
7,30,6.84,0.14,4.05
15,33,7.0,0.3,36.36
27,33,7.07,0.45,61.93
13,32,6.99,0.29,25.57
16,32,7.0,0.35,40.46
20,32,7.02,0.39,48.08
26,36,7.11,0.44,59.93
19,32,6.99,0.39,46.9
10,30,6.92,0.19,7.77
12,30,6.94,0.25,18.5
7,30,6.84,0.13,3.85
5,30,6.79,0.08,4.25
4,30,6.78,0.07,5.91
20,33,7.02,0.39,48.12
15,33,6.97,0.32,35.81
11,29,6.93,0.22,12.44
23,35,7.11,0.44,55.02
7,30,6.84,0.13,3.95
0,26,6.7,0.0,0.0
14,34,7.03,0.3,31.16
11,29,6.92,0.25,13.42
30,28,6.9,0.45,61.29
13,33,6.98,0.27,25.12
25,34,7.1,0.44,59.66
8,29,6.83,0.16,4.75
21,33,7.0,0.4,49.6
30,28,6.9,0.45,60.07
15,33,7.02,0.31,37.02
0,25,6.72,0.0,0.0
26,35,7.11,0.44,61.24
17,33,6.99,0.35,42.42
13,32,6.99,0.27,25.55
12,30,6.97,0.25,17.95
1,29,6.73,0.02,2.39
12,32,6.96,0.24,19.68
1,29,6.72,0.01,3.63
16,32,7.01,0.33,40.11
27,35,7.09,0.46,61.22
1,29,6.72,0.01,3.7
5,30,6.77,0.07,5.18
19,32,6.98,0.39,46.35
19,34,6.97,0.39,46.57
6,29,6.8,0.09,4.92
5,31,6.79,0.07,5.04
19,32,6.98,0.4,46.35
18,33,6.97,0.39,44.78
10,30,6.94,0.2,8.87
2,29,6.75,0.01,6.01
20,34,7.0,0.4,48.91
16,32,7.0,0.33,39.75
5,29,6.8,0.08,5.05
14,33,7.01,0.28,31.47
27,34,7.05,0.44,61.5
6,30,6.8,0.11,4.4
2,30,6.74,0.01,6.25
1,27,6.73,0.01,3.27
24,34,7.1,0.43,56.73
12,31,6.94,0.26,18.31
21,33,7.02,0.41,49.81
25,35,7.07,0.43,58.94
8,29,6.88,0.15,3.38
5,31,6.78,0.09,5.21
12,31,6.94,0.24,19.04
4,29,6.82,0.05,6.86
28,34,7.05,0.46,62.56
20,34,7.01,0.41,47.91
11,30,6.91,0.22,13.55
19,32,7.0,0.39,46.07
14,32,6.97,0.31,30.45
8,30,6.86,0.15,4.71
21,33,7.02,0.41,49.99
18,34,7.02,0.36,44.67
0,25,6.7,0.0,0.0
14,32,7.0,0.32,31.47
11,31,6.93,0.22,12.82
10,30,6.92,0.19,9.42
17,33,7.01,0.36,43.79
8,30,6.84,0.15,4.24
10,31,6.95,0.21,7.92
18,32,7.0,0.37,44.5
19,34,6.96,0.37,45.63
6,30,6.82,0.11,4.3
27,34,7.1,0.45,62.64
22,35,7.03,0.44,52.09
12,30,6.91,0.25,18.96
21,34,7.03,0.42,50.29
0,26,6.67,0.0,0.0
22,34,7.06,0.42,52.37
0,27,6.63,0.0,0.0
0,26,6.73,0.0,0.0
24,34,7.15,0.43,57.62
30,30,6.89,0.43,60.32
15,32,6.98,0.32,37.17
22,34,7.04,0.42,52.55
26,35,7.13,0.45,60.81
19,34,7.01,0.39,46.92
15,32,6.99,0.32,36.53
4,30,6.8,0.07,5.52
14,33,7.0,0.29,30.84
18,34,7.01,0.38,45.97
25,35,7.12,0.47,58.59
0,27,6.68,0.01,0.15
21,34,7.02,0.4,49.84
5,30,6.81,0.08,4.53
21,33,7.02,0.43,50.12
5,29,6.83,0.09,5.59
24,35,7.06,0.43,57.81
27,33,7.07,0.46,61.94
22,33,7.03,0.43,52.41
30,30,6.89,0.45,61.12
1,28,6.72,0.01,3.57
30,30,6.89,0.45,60.05
21,34,7.0,0.41,51.04
2,30,6.72,0.02,4.96
25,36,7.14,0.46,58.2
21,33,7.05,0.39,50.88
11,31,6.92,0.23,13.31
3,31,6.77,0.03,5.55
11,31,6.91,0.23,12.44
27,35,7.09,0.45,61.98
14,32,7.0,0.3,31.51
27,33,7.06,0.45,61.56
4,30,6.77,0.06,5.65
9,31,6.88,0.16,5.61
19,34,6.97,0.39,47.01
24,34,7.07,0.43,57.25
24,35,7.1,0.42,57.27
13,33,7.0,0.28,24.49
18,32,7.04,0.37,45.24
26,34,7.09,0.44,60.06
20,34,6.99,0.39,48.23
3,30,6.77,0.04,6.09
2,30,6.73,0.03,5.93
6,30,6.82,0.11,4.71
17,34,6.98,0.36,42.92
20,34,6.97,0.4,48.31
30,28,6.93,0.46,60.83
18,34,7.03,0.37,44.52
9,29,6.9,0.18,6.52
0,25,6.69,0.0,0.0
1,28,6.74,0.0,0.0
20,34,6.99,0.4,47.97
24,34,7.08,0.43,57.31
28,34,7.02,0.46,62.72
16,34,7.0,0.35,40.57
15,32,6.97,0.3,36.48
7,29,6.86,0.13,3.28
19,32,6.98,0.39,46.8
8,29,6.83,0.15,4.18
7,31,6.81,0.15,4.06
25,36,7.11,0.45,59.86
12,32,6.94,0.24,18.07
13,31,6.99,0.28,24.73
28,33,7.03,0.44,62.29
13,32,6.98,0.29,24.6
30,29,6.89,0.45,59.76
1,28,6.77,0.01,3.26
7,31,6.84,0.13,4.64
27,33,7.1,0.44,61.81
30,28,6.91,0.45,59.72
30,28,6.95,0.45,60.16
27,35,7.07,0.45,62.83
10,29,6.9,0.19,8.71
6,31,6.81,0.11,4.15
1,27,6.71,0.01,3.46
29,31,6.98,0.45,61.51
7,29,6.84,0.12,3.93
7,31,6.84,0.12,2.6
11,30,6.93,0.21,13.23
21,33,7.03,0.4,50.41
30,28,6.91,0.45,60.72
26,34,7.11,0.43,61.79
27,34,7.1,0.45,62.09
20,33,6.99,0.41,48.62
12,31,6.92,0.24,18.71
12,31,6.93,0.26,19.01
2,29,6.76,0.02,5.89
27,33,7.1,0.46,62.12
